month,n_origin,n_dest
202301,119,119
202302,119,119
202303,119,119
202304,119,119
202305,119,122
202306,119,108
202307,119,108
202308,119,108
202309,119,108
202310,119,108
202311,119,108
202312,119,108
202401,119,108
202402,119,108
202403,119,108
202404,119,108
202405,119,108
202406,119,108
202407,119,108
202408,119,108
202409,119,108
202410,119,108
202411,119,108
202412,119,108
202501,119,108
202502,119,108
202503,119,108
202504,119,108
202505,119,108
202506,119,108
202507,119,108
202508,119,108
202509,119,108
202510,119,108
202511,119,108
202512,119,108
202601,119,108
202602,119,108
202603,119,108
202604,119,108
202605,119,108
