origin,destination,total_trips
西門,台北車站,9451730
台北車站,西門,8839613
台北車站,市政府,6955688
市政府,台北車站,6600785
台北車站,台北101/世貿,5827763
台北101/世貿,台北車站,5798365
中山,台北車站,4862922
台北車站,中山,4804460
淡水,台北車站,4777981
台北車站,忠孝復興,4751508
忠孝復興,台北車站,4706602
忠孝新生,台北車站,4543765
台北車站,忠孝新生,4477491
台北車站,淡水,4349059
劍潭,台北車站,4329507
中正紀念堂,台北車站,4081449
台北車站,劍潭,3982956
台北車站,中正紀念堂,3966117
市政府,南港,3821649
新埔,BL板橋,3800527
台北車站,忠孝敦化,3797024
台北車站,石牌,3713358
忠孝敦化,台北車站,3669216
台北車站,士林,3630645
石牌,台北車站,3539578
公館,台北車站,3512470
南港,市政府,3493749
士林,台北車站,3468795
BL板橋,新埔,3416876
台北車站,國父紀念館,3396714
台北車站,公館,3373624
忠孝敦化,市政府,3333806
西門,市政府,3306392
南港展覽館,市政府,3284760
台北車站,雙連,3270211
市政府,西門,3265212
南港,南港展覽館,3175959
善導寺,台北車站,3157201
國父紀念館,台北車站,3153035
台北車站,圓山,3132433
台北車站,東門,3122020
台北車站,善導寺,3114463
市政府,忠孝敦化,3094243
南港展覽館,南港,3082572
台北車站,頂溪,3077463
雙連,台北車站,3074816
忠孝復興,市政府,3050020
BL板橋,海山,3045773
中山,西門,3033615
圓山,台北車站,3023578
BL板橋,江子翠,2970622
東門,台北車站,2969392
市政府,忠孝復興,2946544
江子翠,BL板橋,2937010
西門,BL板橋,2914012
西門,中山,2899085
市政府,南港展覽館,2857863
台北車站,信義安和,2854903
海山,BL板橋,2800989
台北車站,芝山,2794646
頂溪,台北車站,2789648
台北車站,龍山寺,2697425
芝山,台北車站,2680276
民權西路,台北車站,2680162
信義安和,台北車站,2654384
亞東醫院,BL板橋,2654267
台北車站,民權西路,2620043
BL板橋,西門,2608054
台北車站,大安,2596653
松山,南京三民,2594408
大安,台北車站,2587274
松山,南京復興,2577925
南京三民,松山,2576107
台北車站,古亭,2565483
龍山寺,台北車站,2549088
古亭,台北車站,2541376
台北車站,新埔,2526881
市政府,後山埤,2481627
南京復興,松山,2477437
台北車站,台北車站,2460546
BL板橋,亞東醫院,2459025
台北車站,BL板橋,2444206
府中,BL板橋,2434757
市政府,永春,2400192
台北車站,台大醫院,2399856
台北小巨蛋,松山,2396430
松山,台北小巨蛋,2383522
BL板橋,府中,2364271
台大醫院,台北車站,2334708
永春,市政府,2324610
後山埤,市政府,2319985
新埔,市政府,2304748
市政府,BL板橋,2302534
新埔,台北車站,2235635
市政府,新埔,2227852
龍山寺,西門,2188565
台北車站,南京復興,2166989
台北車站,永安市場,2161372
國父紀念館,市政府,2130370
台北車站,江子翠,2092659
西門,新埔,2091239
松山,西門,2053711
西門,龍山寺,2046102
松江南京,台北車站,2045816
BL板橋,市政府,2030304
台北車站,松江南京,2029627
台北車站,北投,2020542
新埔,江子翠,2018747
新埔,西門,2018280
南港展覽館,台北車站,2007933
市政府,國父紀念館,2005701
南京復興,台北車站,1991612
永安市場,台北車站,1988823
忠孝新生,市政府,1971155
BL板橋,台北車站,1959209
忠孝復興,西門,1905830
台北101/世貿,西門,1901626
江子翠,新埔,1881396
台北車站,南港展覽館,1872472
府中,西門,1872068
松山,松江南京,1871268
新埔,亞東醫院,1853024
北投,台北車站,1851080
府中,新埔,1833852
市政府,忠孝新生,1827463
府中,台北車站,1820909
台北車站,台電大樓,1813377
亞東醫院,新埔,1812462
江子翠,台北車站,1806068
台北車站,府中,1792702
西門,忠孝復興,1782396
台北車站,行天宮,1779567
台電大樓,台北車站,1766672
公館,西門,1754665
行天宮,台北車站,1741155
新埔,府中,1737935
西門,府中,1733956
昆陽,市政府,1732069
淡水,石牌,1729399
大坪林,台北車站,1720473
古亭,頂溪,1720262
松江南京,松山,1697021
台北車站,象山,1686107
龍山寺,市政府,1686075
象山,台北車站,1677765
台北車站,南勢角,1674135
西門,南京復興,1658109
台北車站,永春,1643054
市政府,江子翠,1626703
永春,台北車站,1616736
市政府,昆陽,1609293
淡水,關渡,1607259
忠孝新生,西門,1606212
江子翠,市政府,1602596
頂溪,古亭,1599337
台北車站,紅樹林,1596397
西門,公館,1594716
中正紀念堂,西門,1590160
西門,松山,1587588
南勢角,台北車站,1584199
北門,西門,1582496
石牌,淡水,1579400
南京復興,西門,1570903
市政府,龍山寺,1567224
台北車站,大坪林,1564160
忠孝敦化,西門,1561911
府中,市政府,1561026
關渡,淡水,1546939
西門,江子翠,1540051
南京復興,中山,1538553
淡水,士林,1536901
西門,忠孝敦化,1533670
台北車站,海山,1531367
後山埤,南港,1530601
台北車站,景美,1518613
景美,台北車站,1517151
士林,淡水,1512544
南港,後山埤,1512496
大安森林公園,台北車站,1510867
淡水,圓山,1503940
西門,中正紀念堂,1499527
台北車站,大安森林公園,1491754
西門,忠孝新生,1488108
忠孝復興,新埔,1480498
忠孝復興,BL板橋,1461586
南港展覽館,忠孝敦化,1449245
台北101/世貿,中山,1442496
淡水,劍潭,1439310
圓山,中山,1436335
西門,台北101/世貿,1432983
永春,南港,1421789
淡水,中山,1412689
龍山寺,新埔,1410616
台北車站,景安,1406440
松江南京,西門,1404944
市政府,府中,1396449
石牌,北投,1392033
江子翠,西門,1390957
中正紀念堂,台北101/世貿,1389979
劍潭,中山,1389001
台北車站,台北小巨蛋,1386664
明德,台北車站,1385444
台北車站,明德,1379359
景安,台北車站,1374636
善導寺,市政府,1371706
西門,松江南京,1367606
府中,海山,1363084
中山,台北101/世貿,1360071
昆陽,南港,1355180
新埔,龍山寺,1354871
竹圍,淡水,1347494
台北小巨蛋,台北車站,1347379
南港,永春,1347102
紅樹林,台北車站,1345317
亞東醫院,市政府,1337393
七張,台北車站,1332438
新埔,忠孝復興,1331923
中山,圓山,1322915
忠孝新生,忠孝復興,1322406
西門,海山,1313702
圓山,石牌,1312036
松江南京,中山,1306361
松山,中山,1304061
海山,台北車站,1302514
南港展覽館,忠孝復興,1301078
淡水,竹圍,1293179
新埔,忠孝敦化,1289138
淡水,北投,1288626
中山,劍潭,1288062
新埔,海山,1287360
忠孝敦化,南港,1287089
圓山,淡水,1282981
忠孝敦化,新埔,1279768
亞東醫院,西門,1279096
古亭,景安,1277972
永寧,BL板橋,1277485
台北車站,亞東醫院,1271975
亞東醫院,台北車站,1269955
南港,昆陽,1269243
劍潭,西門,1268194
中山,淡水,1265161
市政府,善導寺,1264263
圓山,劍潭,1263451
石牌,圓山,1263040
頂溪,松江南京,1261253
西門,北門,1260425
士林,中山,1260187
南京三民,西門,1259433
台北車站,七張,1256589
府中,江子翠,1255187
松江南京,頂溪,1251262
忠孝敦化,南港展覽館,1251024
中山,南京復興,1249259
西門,南京三民,1249161
忠孝復興,忠孝新生,1245732
劍潭,圓山,1245609
中山,松山,1242730
北投,淡水,1239994
台北車站,後山埤,1236986
士林,圓山,1234179
圓山,士林,1230258
南港展覽館,西門,1226247
BL板橋,永寧,1224451
公館,大坪林,1218471
古亭,西門,1216455
海山,西門,1215186
南港,忠孝敦化,1212567
台北101/世貿,東門,1209729
西門,亞東醫院,1202100
古亭,永安市場,1192710
北投,石牌,1190975
士林,石牌,1190047
南京三民,中山,1189245
台北車站,科技大樓,1185809
國父紀念館,西門,1183038
