station,cluster,daily_avg
新埔,住宅型（早進站尖峰）,36091.0
頂溪,住宅型（早進站尖峰）,31262.0
府中,住宅型（早進站尖峰）,28631.0
江子翠,住宅型（早進站尖峰）,25576.0
亞東醫院,住宅型（早進站尖峰）,23013.0
永安市場,住宅型（早進站尖峰）,22474.0
景安,住宅型（早進站尖峰）,21465.0
海山,住宅型（早進站尖峰）,20938.0
南勢角,住宅型（早進站尖峰）,18811.0
北投,住宅型（早進站尖峰）,17119.0
七張,住宅型（早進站尖峰）,14062.0
蘆洲,住宅型（早進站尖峰）,13864.0
永寧,住宅型（早進站尖峰）,12633.0
紅樹林,住宅型（早進站尖峰）,12291.0
三和國中,住宅型（早進站尖峰）,11943.0
新店,住宅型（早進站尖峰）,11908.0
新店區公所,住宅型（早進站尖峰）,11280.0
徐匯中學,住宅型（早進站尖峰）,11258.0
三重國小,住宅型（早進站尖峰）,11134.0
三民高中,住宅型（早進站尖峰）,11033.0
萬芳醫院,住宅型（早進站尖峰）,10472.0
迴龍,住宅型（早進站尖峰）,10232.0
新莊,住宅型（早進站尖峰）,9821.0
台北橋,住宅型（早進站尖峰）,9743.0
萬隆,住宅型（早進站尖峰）,9507.0
內湖,住宅型（早進站尖峰）,9496.0
菜寮,住宅型（早進站尖峰）,9462.0
頂埔,住宅型（早進站尖峰）,9076.0
竹圍,住宅型（早進站尖峰）,8701.0
丹鳳,住宅型（早進站尖峰）,8668.0
三重,住宅型（早進站尖峰）,8435.0
土城,住宅型（早進站尖峰）,8042.0
東湖,住宅型（早進站尖峰）,7949.0
葫洲,住宅型（早進站尖峰）,7780.0
唭哩岸,住宅型（早進站尖峰）,6894.0
頭前庄,住宅型（早進站尖峰）,5096.0
麟光,住宅型（早進站尖峰）,4174.0
木柵,住宅型（早進站尖峰）,3914.0
復興崗,住宅型（早進站尖峰）,3698.0
大湖公園,住宅型（早進站尖峰）,3435.0
辛亥,住宅型（早進站尖峰）,3236.0
萬芳社區,住宅型（早進站尖峰）,2436.0
幸福,住宅型（早進站尖峰）,2009.0
景平,住宅型（早進站尖峰）,1907.0
秀朗橋,住宅型（早進站尖峰）,1387.0
板新,住宅型（早進站尖峰）,1115.0
西門,就業型（晚進站尖峰）,66070.0
市政府,就業型（晚進站尖峰）,58411.0
中山,就業型（晚進站尖峰）,48004.0
忠孝復興,就業型（晚進站尖峰）,43295.0
南京復興,就業型（晚進站尖峰）,37210.0
忠孝新生,就業型（晚進站尖峰）,33642.0
台北101/世貿,就業型（晚進站尖峰）,31979.0
忠孝敦化,就業型（晚進站尖峰）,30824.0
中正紀念堂,就業型（晚進站尖峰）,26212.0
公館,就業型（晚進站尖峰）,26099.0
行天宮,就業型（晚進站尖峰）,25193.0
東門,就業型（晚進站尖峰）,24433.0
國父紀念館,就業型（晚進站尖峰）,23763.0
大安,就業型（晚進站尖峰）,22230.0
民權西路,就業型（晚進站尖峰）,22007.0
南京三民,就業型（晚進站尖峰）,21333.0
善導寺,就業型（晚進站尖峰）,20762.0
雙連,就業型（晚進站尖峰）,20060.0
台大醫院,就業型（晚進站尖峰）,19898.0
台北小巨蛋,就業型（晚進站尖峰）,19764.0
信義安和,就業型（晚進站尖峰）,17300.0
中山國小,就業型（晚進站尖峰）,16115.0
