date,station,entries,exits
2023-01-01,BL板橋,40330,42852
2023-01-01,Y板橋,11237,10177
2023-01-01,七張,9998,10042
2023-01-01,三和國中,7518,7349
2023-01-01,三民高中,7213,7651
2023-01-01,三重,6137,6150
2023-01-01,三重國小,7807,7753
2023-01-01,中原,1217,1194
2023-01-01,中和,4070,4088
2023-01-01,中山,42908,43809
2023-01-01,中山國中,6759,6643
2023-01-01,中山國小,10444,10028
2023-01-01,中正紀念堂,17148,16644
2023-01-01,丹鳳,5921,5602
2023-01-01,亞東醫院,11153,11047
2023-01-01,信義安和,10553,10217
2023-01-01,先嗇宮,2050,1862
2023-01-01,內湖,6515,6319
2023-01-01,公館,18448,18164
2023-01-01,六張犁,6165,5796
2023-01-01,劍南路,10953,10853
2023-01-01,劍潭,24392,23966
2023-01-01,動物園,10173,10505
2023-01-01,北投,12940,13737
2023-01-01,北門,9930,10426
2023-01-01,十四張,905,820
2023-01-01,南京三民,10746,10555
2023-01-01,南京復興,16459,16503
2023-01-01,南勢角,13180,13671
2023-01-01,南港,14505,14508
2023-01-01,南港展覽館,12497,12016
2023-01-01,南港軟體園區,2142,2065
2023-01-01,古亭,16318,15968
2023-01-01,台北101/世貿,26145,26103
2023-01-01,台北小巨蛋,12821,13468
2023-01-01,台北橋,8118,7962
2023-01-01,台北車站,125217,128220
2023-01-01,台大醫院,8140,7672
2023-01-01,台電大樓,9833,9508
2023-01-01,唭哩岸,4829,4878
2023-01-01,善導寺,11303,10585
2023-01-01,國父紀念館,12414,13006
2023-01-01,圓山,25049,25272
2023-01-01,土城,5014,5121
2023-01-01,士林,20780,21255
2023-01-01,大坪林,12671,12489
2023-01-01,大安,9994,10469
2023-01-01,大安森林公園,9042,8684
2023-01-01,大橋頭站,10186,9058
2023-01-01,大湖公園,4457,4538
2023-01-01,大直,4123,4202
2023-01-01,奇岩,5067,4424
2023-01-01,小南門,3276,3205
2023-01-01,小碧潭,3401,3454
2023-01-01,市政府,50094,49417
2023-01-01,幸福,2942,3252
2023-01-01,府中,22240,20088
2023-01-01,後山埤,10722,10856
2023-01-01,徐匯中學,7526,8030
2023-01-01,復興崗,2677,2844
2023-01-01,忠孝復興,34426,32800
2023-01-01,忠孝敦化,21547,22297
2023-01-01,忠孝新生,26839,26783
2023-01-01,忠義,1502,1577
2023-01-01,文德,3175,3165
2023-01-01,新北投,7609,7408
2023-01-01,新北產業園區,3465,3503
2023-01-01,新埔,22824,22450
2023-01-01,新埔民生,1525,1708
2023-01-01,新店,10729,10092
2023-01-01,新店區公所,7499,8308
2023-01-01,新莊,7590,8068
2023-01-01,昆陽,6480,6838
2023-01-01,明德,6529,6663
2023-01-01,景安,15178,15205
2023-01-01,景平,2715,2916
2023-01-01,景美,11448,11477
2023-01-01,木柵,2500,2645
2023-01-01,東湖,4382,4825
2023-01-01,東門,17473,17786
2023-01-01,松山,16451,15800
2023-01-01,松山機場,2552,2153
2023-01-01,松江南京,13699,13859
2023-01-01,板新,1571,1530
2023-01-01,橋和,1040,1066
2023-01-01,民權西路,13979,13071
2023-01-01,永安市場,14994,15678
2023-01-01,永寧,8330,9126
2023-01-01,永春,12444,11887
2023-01-01,江子翠,16117,16433
