station,hour,daytype,total_trips,avg_per_day
BL板橋,0,weekday,145279,163.79
BL板橋,0,weekend,89294,252.24
BL板橋,1,weekday,4243,4.78
BL板橋,1,weekend,2484,7.02
BL板橋,5,weekday,428,0.48
BL板橋,5,weekend,782,2.22
BL板橋,6,weekday,437483,493.22
BL板橋,6,weekend,97673,275.91
BL板橋,7,weekday,2262434,2550.66
BL板橋,7,weekend,240836,680.33
BL板橋,8,weekday,4878825,5500.37
BL板橋,8,weekend,466516,1317.84
BL板橋,9,weekday,2677786,3018.92
BL板橋,9,weekend,589099,1664.12
BL板橋,10,weekday,1641133,1850.21
BL板橋,10,weekend,723427,2043.58
BL板橋,11,weekday,1477424,1665.64
BL板橋,11,weekend,899231,2540.2
BL板橋,12,weekday,1542193,1738.66
BL板橋,12,weekend,875184,2472.27
BL板橋,13,weekday,1643034,1852.35
BL板橋,13,weekend,950085,2683.86
BL板橋,14,weekday,1480604,1669.23
BL板橋,14,weekend,931132,2630.32
BL板橋,15,weekday,1434987,1617.8
BL板橋,15,weekend,943359,2664.86
BL板橋,16,weekday,1668306,1880.84
BL板橋,16,weekend,977408,2761.04
BL板橋,17,weekday,2500685,2819.26
BL板橋,17,weekend,1088332,3074.38
BL板橋,18,weekday,3290651,3709.87
BL板橋,18,weekend,1034090,2921.16
BL板橋,19,weekday,2277579,2567.73
BL板橋,19,weekend,871837,2462.82
BL板橋,20,weekday,1524114,1718.28
BL板橋,20,weekend,813724,2298.66
BL板橋,21,weekday,1440727,1624.27
BL板橋,21,weekend,801221,2263.34
BL板橋,22,weekday,1208522,1362.48
BL板橋,22,weekend,680579,1922.54
BL板橋,23,weekday,493205,556.04
BL板橋,23,weekend,302718,855.14
Y板橋,0,weekday,21974,24.77
Y板橋,0,weekend,14438,40.79
Y板橋,1,weekday,76,0.09
Y板橋,1,weekend,48,0.14
Y板橋,5,weekday,2,0.0
Y板橋,5,weekend,3,0.01
Y板橋,6,weekday,27196,30.66
Y板橋,6,weekend,8071,22.8
Y板橋,7,weekday,138173,155.78
Y板橋,7,weekend,17405,49.17
Y板橋,8,weekday,221477,249.69
Y板橋,8,weekend,27025,76.34
Y板橋,9,weekday,140440,158.33
Y板橋,9,weekend,34126,96.4
Y板橋,10,weekday,81024,91.35
Y板橋,10,weekend,40631,114.78
Y板橋,11,weekday,72906,82.19
Y板橋,11,weekend,45209,127.71
Y板橋,12,weekday,79954,90.14
Y板橋,12,weekend,47285,133.57
Y板橋,13,weekday,93943,105.91
Y板橋,13,weekend,54448,153.81
Y板橋,14,weekday,90159,101.64
Y板橋,14,weekend,58969,166.58
Y板橋,15,weekday,100534,113.34
Y板橋,15,weekend,69819,197.23
Y板橋,16,weekday,125694,141.71
Y板橋,16,weekend,81565,230.41
Y板橋,17,weekday,210504,237.32
Y板橋,17,weekend,93532,264.21
Y板橋,18,weekday,310890,350.5
Y板橋,18,weekend,97486,275.38
Y板橋,19,weekday,223666,252.16
Y板橋,19,weekend,90705,256.23
Y板橋,20,weekday,156424,176.35
Y板橋,20,weekend,97248,274.71
Y板橋,21,weekday,158608,178.81
Y板橋,21,weekend,104563,295.38
Y板橋,22,weekday,163166,183.95
Y板橋,22,weekend,99827,282.0
Y板橋,23,weekday,74870,84.41
Y板橋,23,weekend,50479,142.6
七張,0,weekday,33407,37.66
七張,0,weekend,16030,45.28
七張,1,weekday,731,0.82
七張,1,weekend,339,0.96
七張,5,weekday,434,0.49
七張,5,weekend,351,0.99
七張,6,weekday,268887,303.14
七張,6,weekend,60308,170.36
七張,7,weekday,1275800,1438.33
七張,7,weekend,135238,382.03
七張,8,weekday,2186552,2465.11
七張,8,weekend,233833,660.55
七張,9,weekday,1226556,1382.81
七張,9,weekend,267306,755.1
七張,10,weekday,717459,808.86
七張,10,weekend,296177,836.66
七張,11,weekday,665530,750.32
七張,11,weekend,352489,995.73
七張,12,weekday,614188,692.43
七張,12,weekend,321354,907.78
七張,13,weekday,649421,732.15
七張,13,weekend,340195,961.0
七張,14,weekday,545660,615.17
七張,14,weekend,307453,868.51
七張,15,weekday,492067,554.75
七張,15,weekend,272430,769.58
七張,16,weekday,649657,732.42
七張,16,weekend,269315,760.78
七張,17,weekday,889020,1002.28
七張,17,weekend,310438,876.94
七張,18,weekday,1223253,1379.09
七張,18,weekend,266799,753.67
七張,19,weekday,787222,887.51
七張,19,weekend,188470,532.4
七張,20,weekday,425486,479.69
七張,20,weekend,146602,414.13
七張,21,weekday,365392,411.94
七張,21,weekend,130061,367.4
七張,22,weekday,267545,301.63
七張,22,weekend,99464,280.97
七張,23,weekday,115970,130.74
七張,23,weekend,52112,147.21
三和國中,0,weekday,24351,27.45
三和國中,0,weekend,14067,39.74
三和國中,1,weekday,355,0.4
三和國中,1,weekend,208,0.59
三和國中,5,weekday,189,0.21
三和國中,5,weekend,266,0.75
三和國中,6,weekday,422385,476.2
三和國中,6,weekend,89445,252.67
三和國中,7,weekday,1598945,1802.64
三和國中,7,weekend,150382,424.81
三和國中,8,weekday,2909735,3280.42
三和國中,8,weekend,234043,661.14
三和國中,9,weekday,1352097,1524.35
三和國中,9,weekend,266840,753.79
三和國中,10,weekday,723617,815.8
三和國中,10,weekend,302290,853.93
三和國中,11,weekday,531077,598.73
三和國中,11,weekend,316396,893.77
三和國中,12,weekday,475355,535.91
三和國中,12,weekend,270019,762.77
三和國中,13,weekday,462134,521.01
三和國中,13,weekend,276929,782.29
三和國中,14,weekday,359276,405.05
三和國中,14,weekend,235078,664.06
三和國中,15,weekday,309319,348.72
三和國中,15,weekend,194254,548.74
三和國中,16,weekday,420698,474.29
三和國中,16,weekend,184933,522.41
三和國中,17,weekday,457393,515.66
三和國中,17,weekend,207236,585.41
三和國中,18,weekday,577413,650.97
三和國中,18,weekend,174765,493.69
三和國中,19,weekday,336228,379.06
三和國中,19,weekend,115462,326.16
三和國中,20,weekday,199884,225.35
三和國中,20,weekend,86584,244.59
三和國中,21,weekday,182280,205.5
三和國中,21,weekend,76525,216.17
三和國中,22,weekday,138842,156.53
三和國中,22,weekend,58494,165.24
三和國中,23,weekday,68507,77.23
三和國中,23,weekend,33779,95.42
三民高中,0,weekday,20154,22.72
三民高中,0,weekend,11177,31.57
三民高中,1,weekday,282,0.32
三民高中,1,weekend,147,0.42
三民高中,5,weekday,80,0.09
三民高中,5,weekend,203,0.58
三民高中,6,weekday,348383,392.77
三民高中,6,weekend,73209,206.81
三民高中,7,weekday,1499058,1690.03
三民高中,7,weekend,142901,403.68
三民高中,8,weekday,2727112,3074.53
三民高中,8,weekend,224490,634.15
三民高中,9,weekday,1189620,1341.17
三民高中,9,weekend,235901,666.39
三民高中,10,weekday,654713,738.12
三民高中,10,weekend,267334,755.18
三民高中,11,weekday,481606,542.96
三民高中,11,weekend,290640,821.02
三民高中,12,weekday,449517,506.78
三民高中,12,weekend,259163,732.1
三民高中,13,weekday,453331,511.08
三民高中,13,weekend,266121,751.75
三民高中,14,weekday,359425,405.21
三民高中,14,weekend,221705,626.29
三民高中,15,weekday,282569,318.57
三民高中,15,weekend,180490,509.86
三民高中,16,weekday,472460,532.65
三民高中,16,weekend,171942,485.71
三民高中,17,weekday,483532,545.13
三民高中,17,weekend,195255,551.57
三民高中,18,weekday,439688,495.7
三民高中,18,weekend,155955,440.55
三民高中,19,weekday,262100,295.49
三民高中,19,weekend,105233,297.27
三民高中,20,weekday,166384,187.58
三民高中,20,weekend,81547,230.36
三民高中,21,weekday,170987,192.77
三民高中,21,weekend,70077,197.96
三民高中,22,weekday,147021,165.75
三民高中,22,weekend,56292,159.02
三民高中,23,weekday,60701,68.43
三民高中,23,weekend,29371,82.97
三重,0,weekday,49230,55.5
三重,0,weekend,26322,74.36
三重,1,weekday,1613,1.82
三重,1,weekend,822,2.32
三重,5,weekday,88,0.1
三重,5,weekend,118,0.33
三重,6,weekday,133082,150.04
三重,6,weekend,26799,75.7
三重,7,weekday,871654,982.7
三重,7,weekend,73638,208.02
三重,8,weekday,1563237,1762.39
三重,8,weekend,111488,314.94
三重,9,weekday,681599,768.43
三重,9,weekend,138719,391.86
三重,10,weekday,347436,391.7
三重,10,weekend,162977,460.39
三重,11,weekday,304405,343.18
三重,11,weekend,192221,543.0
三重,12,weekday,290199,327.17
三重,12,weekend,186702,527.41
三重,13,weekday,294115,331.58
三重,13,weekend,187090,528.5
三重,14,weekday,253604,285.91
三重,14,weekend,174639,493.33
三重,15,weekday,256065,288.69
三重,15,weekend,165916,468.69
三重,16,weekday,311099,350.73
三重,16,weekend,183329,517.88
三重,17,weekday,497503,560.88
