date,dow,month,is_weekend,is_holiday,is_makeup_workday,is_offday,holiday_name,is_lny,is_typhoon,typhoon_name,is_nye
2023-01-01,6,1,1,0,0,1,開國紀念日,0,0,,0
2023-01-02,0,1,0,1,0,1,補假,0,0,,0
2023-01-03,1,1,0,0,0,0,,0,0,,0
2023-01-04,2,1,0,0,0,0,,0,0,,0
2023-01-05,3,1,0,0,0,0,,0,0,,0
2023-01-06,4,1,0,0,0,0,,0,0,,0
2023-01-07,5,1,1,0,1,0,,0,0,,0
2023-01-08,6,1,1,0,0,1,,0,0,,0
2023-01-09,0,1,0,0,0,0,,0,0,,0
2023-01-10,1,1,0,0,0,0,,0,0,,0
2023-01-11,2,1,0,0,0,0,,0,0,,0
2023-01-12,3,1,0,0,0,0,,0,0,,0
2023-01-13,4,1,0,0,0,0,,0,0,,0
2023-01-14,5,1,1,0,0,1,,0,0,,0
2023-01-15,6,1,1,0,0,1,,0,0,,0
2023-01-16,0,1,0,0,0,0,,0,0,,0
2023-01-17,1,1,0,0,0,0,,0,0,,0
2023-01-18,2,1,0,0,0,0,,0,0,,0
2023-01-19,3,1,0,0,0,0,,0,0,,0
2023-01-20,4,1,0,1,0,1,小年夜,0,0,,0
2023-01-21,5,1,1,0,0,1,農曆除夕,1,0,,0
2023-01-22,6,1,1,0,0,1,春節,1,0,,0
2023-01-23,0,1,0,1,0,1,春節,1,0,,0
2023-01-24,1,1,0,1,0,1,春節,1,0,,0
2023-01-25,2,1,0,1,0,1,補假,0,0,,0
2023-01-26,3,1,0,1,0,1,補假,0,0,,0
2023-01-27,4,1,0,1,0,1,調整放假,0,0,,0
2023-01-28,5,1,1,0,0,1,,0,0,,0
2023-01-29,6,1,1,0,0,1,,0,0,,0
2023-01-30,0,1,0,0,0,0,,0,0,,0
2023-01-31,1,1,0,0,0,0,,0,0,,0
2023-02-01,2,2,0,0,0,0,,0,0,,0
2023-02-02,3,2,0,0,0,0,,0,0,,0
2023-02-03,4,2,0,0,0,0,,0,0,,0
2023-02-04,5,2,1,0,1,0,,0,0,,0
2023-02-05,6,2,1,0,0,1,,0,0,,0
2023-02-06,0,2,0,0,0,0,,0,0,,0
2023-02-07,1,2,0,0,0,0,,0,0,,0
2023-02-08,2,2,0,0,0,0,,0,0,,0
2023-02-09,3,2,0,0,0,0,,0,0,,0
2023-02-10,4,2,0,0,0,0,,0,0,,0
2023-02-11,5,2,1,0,0,1,,0,0,,0
2023-02-12,6,2,1,0,0,1,,0,0,,0
2023-02-13,0,2,0,0,0,0,,0,0,,0
2023-02-14,1,2,0,0,0,0,,0,0,,0
2023-02-15,2,2,0,0,0,0,,0,0,,0
2023-02-16,3,2,0,0,0,0,,0,0,,0
2023-02-17,4,2,0,0,0,0,,0,0,,0
2023-02-18,5,2,1,0,1,0,,0,0,,0
2023-02-19,6,2,1,0,0,1,,0,0,,0
2023-02-20,0,2,0,0,0,0,,0,0,,0
2023-02-21,1,2,0,0,0,0,,0,0,,0
2023-02-22,2,2,0,0,0,0,,0,0,,0
2023-02-23,3,2,0,0,0,0,,0,0,,0
2023-02-24,4,2,0,0,0,0,,0,0,,0
2023-02-25,5,2,1,0,0,1,,0,0,,0
2023-02-26,6,2,1,0,0,1,,0,0,,0
2023-02-27,0,2,0,1,0,1,調整放假,0,0,,0
2023-02-28,1,2,0,1,0,1,和平紀念日,0,0,,0
2023-03-01,2,3,0,0,0,0,,0,0,,0
2023-03-02,3,3,0,0,0,0,,0,0,,0
2023-03-03,4,3,0,0,0,0,,0,0,,0
2023-03-04,5,3,1,0,0,1,,0,0,,0
2023-03-05,6,3,1,0,0,1,,0,0,,0
2023-03-06,0,3,0,0,0,0,,0,0,,0
2023-03-07,1,3,0,0,0,0,,0,0,,0
2023-03-08,2,3,0,0,0,0,,0,0,,0
2023-03-09,3,3,0,0,0,0,,0,0,,0
2023-03-10,4,3,0,0,0,0,,0,0,,0
2023-03-11,5,3,1,0,0,1,,0,0,,0
2023-03-12,6,3,1,0,0,1,,0,0,,0
2023-03-13,0,3,0,0,0,0,,0,0,,0
2023-03-14,1,3,0,0,0,0,,0,0,,0
2023-03-15,2,3,0,0,0,0,,0,0,,0
2023-03-16,3,3,0,0,0,0,,0,0,,0
2023-03-17,4,3,0,0,0,0,,0,0,,0
2023-03-18,5,3,1,0,0,1,,0,0,,0
2023-03-19,6,3,1,0,0,1,,0,0,,0
2023-03-20,0,3,0,0,0,0,,0,0,,0
2023-03-21,1,3,0,0,0,0,,0,0,,0
2023-03-22,2,3,0,0,0,0,,0,0,,0
2023-03-23,3,3,0,0,0,0,,0,0,,0
2023-03-24,4,3,0,0,0,0,,0,0,,0
2023-03-25,5,3,1,0,1,0,,0,0,,0
2023-03-26,6,3,1,0,0,1,,0,0,,0
2023-03-27,0,3,0,0,0,0,,0,0,,0
2023-03-28,1,3,0,0,0,0,,0,0,,0
2023-03-29,2,3,0,0,0,0,,0,0,,0
2023-03-30,3,3,0,0,0,0,,0,0,,0
2023-03-31,4,3,0,0,0,0,,0,0,,0
2023-04-01,5,4,1,0,0,1,,0,0,,0
2023-04-02,6,4,1,0,0,1,,0,0,,0
2023-04-03,0,4,0,1,0,1,調整放假,0,0,,0
2023-04-04,1,4,0,1,0,1,兒童節,0,0,,0
2023-04-05,2,4,0,1,0,1,民族掃墓節,0,0,,0
2023-04-06,3,4,0,0,0,0,,0,0,,0
2023-04-07,4,4,0,0,0,0,,0,0,,0
2023-04-08,5,4,1,0,0,1,,0,0,,0
2023-04-09,6,4,1,0,0,1,,0,0,,0
2023-04-10,0,4,0,0,0,0,,0,0,,0
2023-04-11,1,4,0,0,0,0,,0,0,,0
2023-04-12,2,4,0,0,0,0,,0,0,,0
2023-04-13,3,4,0,0,0,0,,0,0,,0
2023-04-14,4,4,0,0,0,0,,0,0,,0
2023-04-15,5,4,1,0,0,1,,0,0,,0
2023-04-16,6,4,1,0,0,1,,0,0,,0
2023-04-17,0,4,0,0,0,0,,0,0,,0
2023-04-18,1,4,0,0,0,0,,0,0,,0
2023-04-19,2,4,0,0,0,0,,0,0,,0
2023-04-20,3,4,0,0,0,0,,0,0,,0
2023-04-21,4,4,0,0,0,0,,0,0,,0
2023-04-22,5,4,1,0,0,1,,0,0,,0
2023-04-23,6,4,1,0,0,1,,0,0,,0
2023-04-24,0,4,0,0,0,0,,0,0,,0
2023-04-25,1,4,0,0,0,0,,0,0,,0
2023-04-26,2,4,0,0,0,0,,0,0,,0
2023-04-27,3,4,0,0,0,0,,0,0,,0
2023-04-28,4,4,0,0,0,0,,0,0,,0
2023-04-29,5,4,1,0,0,1,,0,0,,0
2023-04-30,6,4,1,0,0,1,,0,0,,0
2023-05-01,0,5,0,0,0,0,,0,0,,0
2023-05-02,1,5,0,0,0,0,,0,0,,0
2023-05-03,2,5,0,0,0,0,,0,0,,0
2023-05-04,3,5,0,0,0,0,,0,0,,0
2023-05-05,4,5,0,0,0,0,,0,0,,0
2023-05-06,5,5,1,0,0,1,,0,0,,0
2023-05-07,6,5,1,0,0,1,,0,0,,0
2023-05-08,0,5,0,0,0,0,,0,0,,0
2023-05-09,1,5,0,0,0,0,,0,0,,0
2023-05-10,2,5,0,0,0,0,,0,0,,0
2023-05-11,3,5,0,0,0,0,,0,0,,0
2023-05-12,4,5,0,0,0,0,,0,0,,0
2023-05-13,5,5,1,0,0,1,,0,0,,0
2023-05-14,6,5,1,0,0,1,,0,0,,0
2023-05-15,0,5,0,0,0,0,,0,0,,0
2023-05-16,1,5,0,0,0,0,,0,0,,0
2023-05-17,2,5,0,0,0,0,,0,0,,0
2023-05-18,3,5,0,0,0,0,,0,0,,0
2023-05-19,4,5,0,0,0,0,,0,0,,0
2023-05-20,5,5,1,0,0,1,,0,0,,0
2023-05-21,6,5,1,0,0,1,,0,0,,0
2023-05-22,0,5,0,0,0,0,,0,0,,0
2023-05-23,1,5,0,0,0,0,,0,0,,0
2023-05-24,2,5,0,0,0,0,,0,0,,0
2023-05-25,3,5,0,0,0,0,,0,0,,0
2023-05-26,4,5,0,0,0,0,,0,0,,0
2023-05-27,5,5,1,0,0,1,,0,0,,0
2023-05-28,6,5,1,0,0,1,,0,0,,0
2023-05-29,0,5,0,0,0,0,,0,0,,0
2023-05-30,1,5,0,0,0,0,,0,0,,0
2023-05-31,2,5,0,0,0,0,,0,0,,0
2023-06-01,3,6,0,0,0,0,,0,0,,0
2023-06-02,4,6,0,0,0,0,,0,0,,0
2023-06-03,5,6,1,0,0,1,,0,0,,0
2023-06-04,6,6,1,0,0,1,,0,0,,0
2023-06-05,0,6,0,0,0,0,,0,0,,0
