station,cluster,pagerank,out_strength_train,in_strength_train,deg_out,deg_in
BL板橋,tourism_hub,0.018092997931677218,27666160,30022886,119,119
Y板橋,employment,0.002407537190835165,2439369,1240842,119,119
七張,residential,0.007604073346519698,10169828,10593799,119,119
三和國中,residential,0.0060636749150627875,8442286,8209674,119,119
三民高中,residential,0.006027675649342931,7906509,8166053,119,119
三重,residential,0.004916344683987979,5686219,5801303,119,119
三重國小,residential,0.0059832102861317946,7904082,8095604,119,119
中原,employment_peak,0.001588389910291295,917567,416427,119,119
中和,tourism_hub,0.0018028949449660709,1953379,659155,119,119
中山,employment,0.02139098988438396,33684687,34787070,119,119
中山國中,tourism_hub,0.006725824923125934,8814268,8883686,119,119
中山國小,employment,0.008158273666952362,11533815,11578930,119,119
中正紀念堂,employment,0.011861922557124868,18705533,18469132,119,119
丹鳳,residential,0.005033339620562953,6259183,6017293,119,119
亞東醫院,residential,0.009852181373901616,16392383,15106390,119,119
信義安和,employment,0.008801312716157679,12328903,12968843,119,119
先嗇宮,employment_peak,0.0032877031907995904,3083178,3161899,119,119
內湖,residential,0.0054146451676197705,6731522,6689626,119,119
公館,employment,0.011898833288440089,18852696,18370746,119,119
六張犁,tourism_hub,0.005659419226679229,7182728,7155062,119,119
劍南路,employment,0.006427966167376058,8316804,8268826,119,119
劍潭,tourism_hub,0.012298595346979004,19208589,19198374,119,119
動物園,tourism_hub,0.004126577391030168,4697945,4790863,119,119
北投,residential,0.008814405102770062,12273577,12958965,119,119
北門,tourism_hub,0.007390511992561102,10613473,10569701,119,119
十四張,tourism_hub,0.001654333761038532,1566826,515660,119,119
南京三民,employment,0.010442319682394001,15254196,15717427,119,119
南京復興,employment,0.01825774969954299,26463827,28110605,119,119
南勢角,residential,0.009066303781036577,13517629,13370602,119,119
南港,tourism_hub,0.010791027288769458,15491958,16220466,119,119
南港展覽館,tourism_hub,0.012800521189098621,20743587,19539084,119,119
南港軟體園區,employment_peak,0.003779618571527509,4155809,3956625,119,119
古亭,tourism_hub,0.013461166174587796,20915161,20987515,119,119
台北101/世貿,employment,0.014568276203088593,22693136,23028974,119,119
台北小巨蛋,employment,0.009923813765164748,14202181,14872373,119,119
台北橋,residential,0.005670547296959577,6922001,7243109,119,119
台北車站,tourism_hub,0.05972624728307237,102855012,101118016,119,119
台大醫院,employment,0.009909333853811278,14205536,14791405,119,119
台電大樓,tourism_hub,0.007477392079868019,10851814,10801247,119,119
唭哩岸,residential,0.003961380320659664,4954091,4658937,119,119
善導寺,employment,0.010055173099164576,15017515,15384737,119,119
國父紀念館,employment,0.010742991225210826,15664318,16561695,119,119
圓山,tourism_hub,0.012442312780404412,18869309,19320721,119,119
土城,residential,0.004444685416068663,5668984,5622758,119,119
士林,tourism_hub,0.012293765514214669,19073912,19027730,119,119
大坪林,tourism_hub,0.009537672252264952,14682987,13966671,119,119
大安,employment,0.011001288869032785,15901080,16178366,119,119
大安森林公園,tourism_hub,0.004971044345624159,6783644,6425094,119,119
大橋頭站,tourism_hub,0.0064409180360382795,9335488,8451224,119,119
大湖公園,residential,0.0027726004124115906,2477440,2412449,119,119
大直,tourism_hub,0.004873779220265603,5836163,5862594,119,119
奇岩,tourism_hub,0.004326732294232056,5927428,5275390,119,119
小南門,employment,0.005044346015478684,6352757,6504742,119,119
小碧潭,tourism_hub,0.0027867671775356146,2317181,2533813,119,119
市政府,employment,0.026421592556437154,41934590,43871437,119,119
幸福,residential,0.0017122311502341169,1483200,559933,119,119
府中,residential,0.011856165364933599,20501135,18621999,119,119
後山埤,tourism_hub,0.007579965577380467,11004828,11062810,119,119
徐匯中學,residential,0.006244460865792221,8118795,8543856,119,119
復興崗,residential,0.002831600153956862,2635238,2641933,119,119
忠孝復興,employment,0.019231343223008922,31071543,30585028,119,119
忠孝敦化,employment,0.014539682100172587,22240410,23246875,119,119
忠孝新生,employment,0.015039407090899445,23859165,23913834,119,119
忠義,tourism_hub,0.00246233745115602,2025825,2035815,119,119
文德,tourism_hub,0.003567330468287403,3834248,3705195,119,119
新北投,tourism_hub,0.0035570334178461147,4180588,3952575,119,119
新北產業園區,employment,0.0019316593792045719,1510488,704230,119,119
新埔,residential,0.015481052037715527,26045232,25317777,119,119
新埔民生,tourism_hub,0.00157096353417415,585899,328606,119,119
新店,residential,0.005960113208754213,8650310,7902991,119,119
新店區公所,residential,0.006307942913226783,8125975,8590484,119,119
新莊,residential,0.005960102294781794,7034135,7528574,119,119
昆陽,employment,0.0065706144769440665,9211272,9293696,119,119
明德,tourism_hub,0.006036595802744722,8383525,8217000,119,119
景安,residential,0.009836483011836622,15724995,14765716,119,119
景平,residential,0.0016969010037505654,1470780,537433,119,119
景美,tourism_hub,0.007800932650879291,10723676,11097713,119,119
木柵,residential,0.0030856733253171575,2769722,2913267,119,119
東湖,residential,0.00480579791641929,5632352,5802623,119,119
東門,employment,0.011483712540524629,17125206,17577433,119,119
松山,tourism_hub,0.011207080442135801,17409348,16888531,119,119
松山機場,tourism_hub,0.0033408524157799912,3407862,3370785,119,119
松江南京,employment_peak,0.015857569409606545,23671674,24712809,119,119
板新,residential,0.001575709678443478,794980,384510,119,119
橋和,employment_peak,0.0015111210332761592,668670,303354,119,119
民權西路,employment,0.010292938455773133,15491851,15294950,119,119
永安市場,residential,0.011205123021931319,16235098,17054651,119,119
永寧,residential,0.006392309714322513,8933750,9073024,119,119
永春,tourism_hub,0.009012898107752118,13406187,13545029,119,119
江子翠,residential,0.011785038402147927,18063985,18697043,119,119
海山,residential,0.009910052859720693,14837249,15257067,119,119
淡水,tourism_hub,0.01452929340086833,24720498,22577510,119,119
港墘,employment_peak,0.007824387526552342,10827780,10508262,119,119
石牌,tourism_hub,0.012729008120317572,19203401,19680631,119,119
秀朗橋,residential,0.0015370109366317764,1036974,353973,119,119
科技大樓,tourism_hub,0.006847694099886444,9506846,9113244,119,119
竹圍,residential,0.005107364777355924,6242072,6539111,119,119
紅樹林,residential,0.006785803238066457,8437263,9479154,119,119
芝山,tourism_hub,0.010371463409163423,15541575,15701011,119,119
菜寮,residential,0.005434938686052991,6716652,6742516,119,119
萬芳社區,residential,0.0021173006889500198,1754373,1390342,119,119
萬芳醫院,residential,0.006328088973397391,7578980,8086818,119,119
萬隆,residential,0.005198527848923892,6792038,6768089,119,119
葫洲,residential,0.00470933832090586,5547877,5555948,119,119
蘆洲,residential,0.006555590148600124,9872893,9105205,119,119
行天宮,employment,0.012314241988239712,18173835,18658620,119,119
西湖,employment_peak,0.006975035440607988,9128679,9215663,119,119
西門,employment,0.028785707124555974,47274615,48520535,119,119
象山,employment,0.006288276022210728,9103747,8619881,119,119
輔大,tourism_hub,0.005959745513997656,6435872,7342886,119,119
辛亥,residential,0.0026080500849119566,2316004,2206470,119,119
迴龍,residential,0.005875438102854866,7256341,7178959,119,119
關渡,tourism_hub,0.006343810660026082,8434136,8670446,119,119
雙連,employment,0.009961782422999235,14270288,15071843,119,119
頂埔,residential,0.004722418250346038,6373784,6083654,119,119
頂溪,residential,0.01487446127669178,22643083,23446017,119,119
頭前庄,residential,0.003453784685921952,3715131,3474298,119,119
麟光,residential,0.0029898506965073558,2971188,2826763,119,119
龍山寺,tourism_hub,0.012255792413342067,19684081,19369832,119,119
