seasonal_baseline_pct,station,2023-05,2023-06,total_change_pct,group,real_drop_pct
-3.43,中山,1307537,1258994,-3.712552684933581,control,-0.28171155477316434
-3.43,市政府,1672003,1616448,-3.32266150240161,control,0.10817962775880652
-3.43,台北車站,3983779,3854015,-3.2573092031460584,control,0.17353192701435827
-3.43,大坪林,647088,525032,-18.86234947951438,dual_line,-15.431508349353962
-3.43,景安,689375,587186,-14.823427017225749,dual_line,-11.392585887065332
-3.43,頭前庄,164066,130665,-20.358270452135116,dual_line,-16.9274293219747
-3.43,Y板橋,217320,63527,-70.76799190134363,pure_ring,-67.33715077118322
-3.43,中原,81394,43175,-46.95554954910681,pure_ring,-43.524708418946396
-3.43,中和,122538,61024,-50.199937978423016,pure_ring,-46.7690968482626
-3.43,十四張,92189,50296,-45.44251483365694,pure_ring,-42.01167370349653
-3.43,幸福,98868,53904,-45.478820245175385,pure_ring,-42.04797911501497
-3.43,新北產業園區,126544,48070,-62.01321279554938,pure_ring,-58.58237166538896
-3.43,新埔民生,53456,15905,-70.24655791679137,pure_ring,-66.81571678663096
-3.43,景平,94012,49714,-47.11951665744799,pure_ring,-43.68867552728757
-3.43,板新,74006,35631,-51.85390373753479,pure_ring,-48.423062607374376
-3.43,橋和,59880,31401,-47.56012024048096,pure_ring,-44.129279110320546
-3.43,秀朗橋,63720,34092,-46.497175141242934,pure_ring,-43.06633401108252
