station,cluster,MAE,RMSE,WAPE,aic,converged
BL板橋,tourism_hub,1472.4716522922013,2244.481880790329,3.898099322709745,20199.19520447767,True
Y板橋,employment,213.08758258012068,296.00540235280897,8.723059168039772,15780.607389724071,True
七張,residential,363.1933088877784,526.6294848895502,2.558841421250625,17671.600873211763,True
三和國中,residential,310.44597959579096,450.489428205925,2.4784284624605952,17347.940997230853,True
三民高中,residential,321.0663812209841,463.1234880196268,2.814591185451321,17273.366273299627,True
三重,residential,777.3170250314635,1553.409986380176,7.624527313198127,17605.76232919996,True
三重國小,residential,264.75899095103875,385.6069800920663,2.2772268604564325,17029.672724838685,True
中原,employment_peak,51.62845336258479,69.46597375233041,3.3572179239535704,14536.046640172382,True
中和,tourism_hub,76.03118988469771,107.5542937039386,3.1212168928383246,14661.521677200904,True
中山,employment,2197.902553341163,3122.2254225865786,4.299422308797441,20411.455525673944,True
中山國中,tourism_hub,317.4397063640052,471.9482400217129,2.591418792427343,17691.984589766296,True
中山國小,employment,486.5039238165817,716.8636873717194,2.9511950873323114,17966.912359702284,True
中正紀念堂,employment,1224.0556705515996,1757.5134923523126,4.535737857084806,19938.44062067401,True
丹鳳,residential,241.23925933791188,336.6833269390669,2.72536156421188,16752.362671760086,True
亞東醫院,residential,661.5100950098395,1023.8441140746992,2.78419082234303,18958.62043342404,True
信義安和,employment,512.0783930449065,783.0668817561834,2.8244510127003,18384.805166741164,True
先嗇宮,employment_peak,122.78750746625,172.8279134715848,2.5995336250636183,15676.642659781208,True
內湖,residential,281.2304572546002,432.5787806487941,2.828006563958072,16902.519357226764,True
公館,employment,1708.242132304962,2475.939929469011,6.541826905572002,19720.743421278014,True
六張犁,tourism_hub,266.2843813236221,398.6623224344617,2.647554623621664,17229.3958961297,True
劍南路,employment,608.2183933369702,891.9148223135106,5.396391870824216,17578.537004580976,True
劍潭,tourism_hub,1441.9044700369443,1893.8970438165563,5.357430308722588,19519.046491631125,True
動物園,tourism_hub,984.6013702706364,1544.2780295115847,14.05708948242482,18411.71819417432,True
北投,residential,686.4744450714253,899.9644273490592,3.8264058727691177,18311.078799172137,True
北門,tourism_hub,679.531943057996,1024.438558083331,3.92513254349797,18768.768852561083,True
十四張,tourism_hub,126.2156953539686,170.25047744166,5.228401733361478,15344.80183433519,True
南京三民,employment,528.6103404146784,752.4616415199359,2.432441716218442,18975.389073236147,True
南京復興,employment,1102.51229800007,1658.7191598758125,2.8940263366107484,20325.207344805483,True
南勢角,residential,436.10394057844337,655.8022496599232,2.2654056529221243,18305.400598865424,True
南港,tourism_hub,1072.1184084549436,1470.2734196821257,4.566228546739963,19204.237375737142,True
南港展覽館,tourism_hub,3117.753361546205,4362.434350803956,9.29021215215489,21180.61941238941,True
南港軟體園區,employment_peak,391.5349282201561,561.084215359189,5.341366900893476,17014.761157652705,True
古亭,tourism_hub,1012.9384411680876,1661.485038597764,3.4161514187546573,19510.222061116237,True
台北101/世貿,employment,2301.8137747908413,3150.3375304450065,6.917418995701108,20458.95993061985,True
台北小巨蛋,employment,1293.612464990202,1837.2270089295637,6.535350466475711,19577.96338284643,True
台北橋,residential,312.86176916365014,435.9343477138909,3.034271929155842,17213.724792807112,True
台北車站,tourism_hub,7477.464868821617,10152.957839842336,4.965470282754414,22800.96462936287,True
台大醫院,employment,819.6559368832683,1122.499689562283,4.045950274573676,19276.496549175725,True
台電大樓,tourism_hub,499.7387350174837,844.3564031919667,3.3148184391316184,18059.85508067796,True
唭哩岸,residential,177.64144318494607,251.71056852907105,2.494435096445696,16074.451036850767,True
善導寺,employment,1004.0282767807324,1336.2001465409826,4.910341593244134,19138.182962118284,True
國父紀念館,employment,3833.260816505079,5599.135078496583,13.863348388717926,20512.92247863474,True
圓山,tourism_hub,2618.330592916897,3692.591213072127,9.09991917885212,20362.21044095794,True
土城,residential,252.85366032754544,375.48749951957103,2.944044635338755,16512.70830618675,True
士林,tourism_hub,1393.2112373029731,1856.8359883178373,5.14386940525835,19596.02470999521,True
大坪林,tourism_hub,536.4184850476521,809.3747983852251,2.763622963076791,18708.565548754723,True
大安,employment,1029.6730566750923,1458.4709896023614,4.513136796078887,19199.37501468865,True
大安森林公園,tourism_hub,890.8401570427336,1584.2672697752,8.552014761880264,18416.8911086499,True
大橋頭站,tourism_hub,485.8006182867047,750.5009962506027,3.474632877157671,17793.0457057598,True
大湖公園,residential,344.0906774680783,538.2297296973868,9.390561000272877,15546.067374886115,True
大直,tourism_hub,412.3388905292385,559.5597677803291,4.845160608961534,17170.43028159965,True
奇岩,tourism_hub,266.9475810091814,466.2042901556735,3.13635190903878,16816.99292310878,True
小南門,employment,454.2547695151198,573.2696416912609,4.876143740951884,17571.086326037308,True
小碧潭,tourism_hub,137.9808556071691,210.88252977115985,4.338081051353477,14904.085185113054,True
市政府,employment,2628.570337468115,3654.4392968998063,4.426220637829106,21200.09079217071,True
幸福,residential,86.50024467619899,118.87705486673296,4.062673816288611,13984.903721024852,True
府中,residential,1096.5162647170805,1583.4363738104191,3.719596188977101,19340.590083683368,True
後山埤,tourism_hub,446.70639314915735,656.9233910095433,2.7396273102846607,17813.88997761509,True
徐匯中學,residential,276.8958129009776,398.55625183079366,2.4214440280607734,17163.674261479893,True
復興崗,residential,148.05483001459964,229.67202904919031,3.752243468516786,15109.388428449549,True
忠孝復興,employment,1565.8954279245845,2257.521706548149,3.583460682092264,20363.463831666937,True
忠孝敦化,employment,1075.4814974026312,1659.732126520876,3.547499285854657,19571.66960626552,True
忠孝新生,employment,1476.3025608066464,2079.9560136543487,4.216817671340093,19751.776754436643,True
忠義,tourism_hub,130.60484355988314,206.1333101849554,4.423787102243228,14760.805353585634,True
文德,tourism_hub,285.94084755508004,375.26882824336496,5.2109023608531935,16337.930743328889,True
新北投,tourism_hub,337.6987365079509,454.05427113664376,5.636493278069228,16606.1117632053,True
新北產業園區,employment,91.99685125091494,122.3760268287264,5.179867679490555,14785.431855683131,True
新埔,residential,1042.7693543810542,1608.6248069336204,2.873621641354848,19936.594452299672,True
新埔民生,tourism_hub,41.82787016141342,55.56628204963118,5.943639386790973,12738.946404435726,True
新店,residential,598.8058186337602,862.9377835046504,4.900500761943199,17818.058466870087,True
新店區公所,residential,280.2257146257293,433.0991026705251,2.4560158402951537,17218.76036878488,True
新莊,residential,492.8817384923635,670.7951709593574,4.824058638684494,17420.98766088877,True
昆陽,employment,593.8264789594664,871.7968518519591,4.1534617581186914,18045.884990843013,True
明德,tourism_hub,384.401227756898,529.4587798591994,3.166383205272866,17564.73370125434,True
景安,residential,544.2545639140102,825.425041418245,2.569931108346541,18755.23074527957,True
景平,residential,65.91170482956632,87.84121453682833,3.6279908975556863,13976.283520610416,True
景美,tourism_hub,498.1412439415316,685.9510833155347,3.3490574440689174,17955.768874443624,True
木柵,residential,206.6209169560956,279.80723234633854,5.003633830659431,15643.116475403567,True
東湖,residential,295.93099692332544,457.9085496909897,3.509193640845913,16915.187457946136,True
東門,employment,758.986447393872,1175.150340925246,2.8594135503147577,18885.92497678104,True
松山,tourism_hub,902.0233406374746,1321.6656585749545,3.534128499962342,19234.495390277683,True
松山機場,tourism_hub,256.41252005980374,331.9075501933607,4.930802771792623,15703.332548537142,True
松江南京,employment_peak,932.467654988357,1345.0487601996288,2.7018375397471086,20123.992272441727,True
板新,residential,61.47043386444983,76.63927451476488,4.850485994435667,13629.633559994898,True
橋和,employment_peak,45.56261626322528,60.357927405453005,4.028642816172658,13720.804892644006,True
民權西路,employment,756.028691615192,1036.6546094466748,3.234761583914815,18812.43359781681,True
永安市場,residential,583.7651405418337,883.9823647598697,2.562172183208,18774.60138501124,True
永寧,residential,480.82537253600094,677.7491944249703,3.611029911094562,17627.828577348573,True
永春,tourism_hub,609.6858624515169,890.5086145252835,3.14865022330576,18449.815817450304,True
江子翠,residential,746.291910395304,1154.5951000200232,2.77439381961531,19026.213851446093,True
海山,residential,603.9571090264988,869.2828604488169,2.70674429366009,18605.54736672287,True
淡水,tourism_hub,3190.312924531582,4678.650451697697,9.226174946011207,20682.438464763443,True
港墘,employment_peak,496.3576363708871,645.5804603706451,3.266114125823346,18599.48075939679,True
石牌,tourism_hub,943.7740620668112,1330.9506750961618,3.4490049372309746,19406.44769120385,True
秀朗橋,residential,55.337652717760506,73.29788142173628,3.93030496151617,13255.074089053924,True
科技大樓,tourism_hub,581.4682490226913,785.7936097063382,4.330563845348921,18065.91278505796,True
竹圍,residential,302.3348587282984,393.24116723340336,3.3482631570898564,16678.073541627924,True
紅樹林,residential,682.0025766187733,1017.699783370894,4.906638295544238,17826.845704092826,True
芝山,tourism_hub,631.3598147432479,878.2510483320187,2.819139863750587,18783.447686160784,True
菜寮,residential,310.64113703752423,436.4314287766662,3.157453381664265,17069.32173710342,True
萬芳社區,residential,78.18933572078683,104.71850077282932,3.164626807611989,14261.308439234595,True
萬芳醫院,residential,544.3187642767094,790.633153627947,5.158266845096801,17749.49401378417,True
萬隆,residential,242.13103009440837,378.8790656101493,2.459922945752175,16635.140965716884,True
葫洲,residential,263.3826806954535,358.30099905419206,3.279564337401178,16846.310643560653,True
蘆洲,residential,385.2568707483868,605.3348782312544,2.683859758334852,17797.53405872769,True
行天宮,employment,1034.7542820165893,1858.598965586778,3.9980281225596985,19479.849642628036,True
西湖,employment_peak,382.5837848205628,530.9708564798852,3.204629893560468,18252.73658704317,True
西門,employment,3021.166826420288,4294.404864216537,4.391028816337992,21060.316454018543,True
象山,employment,697.63018084389,1068.1397821673308,4.979544169147284,18199.29928612464,True
輔大,tourism_hub,827.8719480286849,1228.493374441568,9.4604127445125,18253.538212238174,True
辛亥,residential,118.38845470770754,164.61771193836796,3.526294678375281,14814.503250678608,True
迴龍,residential,339.04611848058977,444.0837944441662,3.140459787939012,17326.824308746654,True
關渡,tourism_hub,692.0604484899624,1250.2910273217365,5.483105015910504,18071.18825289936,True
雙連,employment,672.2058141759977,960.7899492928426,3.2363956872931685,18558.53792009497,True
頂埔,residential,287.31602562242455,406.6858395187718,2.9301487384431857,16860.396937055437,True
頂溪,residential,852.362349614729,1272.3758314078668,2.7082506600742846,19427.83328319467,True
頭前庄,residential,173.86475113149547,235.2505047496164,3.389964157899905,15939.35740931905,True
麟光,residential,185.5973644047391,345.5624527007822,4.188673851521827,15445.677734931443,True
龍山寺,tourism_hub,1332.8962457846403,2555.639406493473,4.586672860253111,19507.999935295564,True
