feature,gain,split,gain_pct
pagerank,175783476229660.0,4804,45.31
lag7,156586330317556.0,8204,40.36
lag14,23901368133189.0,7384,6.16
lag1,19582596650976.0,9893,5.05
roll7_mean,2797984915495.0,5257,0.72
is_typhoon,1765252972340.0,844,0.45
is_holiday,1761463947690.0,825,0.45
dow,1753916213265.0,5856,0.45
out_strength_train,1431936988651.0,2938,0.37
is_offday,1295067459382.0,2085,0.33
month,469967152935.0,7629,0.12
roll28_mean,425426005341.0,4966,0.11
in_strength_train,223714801012.0,1418,0.06
is_nye,76616433442.0,467,0.02
cl_employment_peak,40489562382.0,257,0.01
cl_tourism_hub,26961702260.0,459,0.01
cl_employment,21233307896.0,389,0.01
is_lny,20779388133.0,305,0.01
is_makeup_workday,8719887518.0,78,0.0
cl_residential,5259742092.0,285,0.0
service_suspended,2829794724.0,24,0.0
is_yline,192165000.0,19,0.0
is_weekend,0.0,0,0.0
deg_out,0.0,0,0.0
deg_in,0.0,0,0.0
