model,ablation,group,MAE,RMSE,WAPE
LightGBM,full,ALL,819.4012794165632,1773.3302503782718,4.633671403527349
LightGBM,full,employment,1204.999423960126,2148.649747837409,4.623194642058836
LightGBM,full,employment_peak,465.058368409383,904.412973964359,4.262652097358406
LightGBM,full,residential,472.75092654564327,818.3660827150604,3.9320532981848073
LightGBM,full,tourism_hub,1020.1793994663736,2341.9449883720267,5.202725432220857
RandomForest,full,ALL,816.9223701819341,1854.4349920832437,4.6196533013825505
RandomForest,full,employment,1228.405366673421,2315.9896563048255,4.7129957048583675
RandomForest,full,employment_peak,485.1301514891602,1345.732274329477,4.446626914402057
RandomForest,full,residential,447.1356133022217,895.1654748050717,3.7190007767253737
RandomForest,full,tourism_hub,1022.4805924333696,2348.0574123391034,5.2144610888907525
LightGBM,no_network,ALL,883.4539058214937,1917.898912672739,4.9958856577016615
LightGBM,no_network,employment,1312.8508813568471,2399.519896363208,5.036985943581696
LightGBM,no_network,employment_peak,537.376129925274,1106.7142643353518,4.925505362113802
LightGBM,no_network,residential,495.37318969290544,880.4383987206166,4.120211458065238
LightGBM,no_network,tourism_hub,1100.5892231425123,2472.3466111848707,5.612800596313632
