model,ablation,num_leaves,min_child_samples,learning_rate,best_n_estimators,val_WAPE,sec,max_depth,min_samples_leaf,n_estimators
LightGBM,full,63.0,20.0,0.05,177.0,4.726731265084249,1.4,,,
LightGBM,full,63.0,50.0,0.05,689.0,4.582496169539028,4.5,,,
LightGBM,full,127.0,20.0,0.05,163.0,4.629376347461896,1.9,,,
LightGBM,full,127.0,50.0,0.05,511.0,4.5655883485281805,5.5,,,
LightGBM,full,255.0,20.0,0.05,188.0,4.598551286868847,3.3,,,
LightGBM,full,255.0,50.0,0.05,212.0,4.581892729815067,4.2,,,
RandomForest,full,,,,,5.067167265280047,62.9,12.0,5.0,300.0
RandomForest,full,,,,,5.254103028630395,60.0,12.0,20.0,300.0
RandomForest,full,,,,,4.680402307113666,87.0,20.0,5.0,300.0
RandomForest,full,,,,,5.03129922483438,73.6,20.0,20.0,300.0
RandomForest,full,,,,,4.6723730240292385,92.4,,5.0,300.0
RandomForest,full,,,,,5.030861540442506,73.7,,20.0,300.0
LightGBM,no_network,63.0,20.0,0.05,135.0,4.899935770080371,1.1,,,
LightGBM,no_network,63.0,50.0,0.05,687.0,4.779869953545922,4.3,,,
LightGBM,no_network,127.0,20.0,0.05,153.0,4.7738533946616615,1.7,,,
LightGBM,no_network,127.0,50.0,0.05,389.0,4.763090042379467,4.1,,,
LightGBM,no_network,255.0,20.0,0.05,179.0,4.780719613352894,2.9,,,
LightGBM,no_network,255.0,50.0,0.05,157.0,4.767625451207781,3.1,,,
