arm,num_leaves,min_child,n_est,val_WAPE,test_WAPE
no_cluster,63,20,149,4.771562688316232,5.17783362069829
no_cluster,63,50,650,4.633393777541682,4.789489559194704
no_cluster,127,20,164,4.675935652018236,4.8617348890517835
no_cluster,127,50,360,4.59855964322962,4.701047406132762
no_cluster,255,20,158,4.655492259612074,4.698846922733008
no_cluster,255,50,331,4.612226931490726,4.613992613534202
k3,63,20,153,4.740340863620306,5.108665543700172
k3,63,50,443,4.594536830117807,4.861313487388961
k3,127,20,238,4.600298116697403,4.827531451355933
k3,127,50,399,4.5591412527445865,4.680035333307644
k3,255,20,168,4.60033310824425,4.670855930364069
k3,255,50,215,4.580344914688019,4.625527030898051
k4,63,20,165,4.741884751555164,5.113591724732944
k4,63,50,626,4.587515823157502,4.780965031120182
k4,127,20,171,4.624985991488635,4.872793019842136
k4,127,50,310,4.588587986546606,4.722082663387293
k4,255,20,202,4.601135609797301,4.6534929552434505
k4,255,50,219,4.57776648541818,4.611203537622568
