model,group,n_days,WAPE
SARIMAX,一般平日,97,2.983141752106937
SARIMAX,一般週末,44,6.594171873263431
SARIMAX,元旦(跨年翌日),1,12.388507258371453
SARIMAX,其他國定假日,5,11.09795402068536
SARIMAX,春節(除夕~初三),4,15.34689986602788
LightGBM,一般平日,97,3.130599057523906
LightGBM,一般週末,44,6.721387832961495
LightGBM,元旦(跨年翌日),1,28.265976471746924
LightGBM,其他國定假日,5,10.434183732419882
LightGBM,春節(除夕~初三),4,20.52496329596441
LSTM,一般平日,97,2.7908675207792193
LSTM,一般週末,44,5.606266582787953
LSTM,元旦(跨年翌日),1,16.15344708937567
LSTM,其他國定假日,5,8.446450306708092
LSTM,春節(除夕~初三),4,20.32199603051016
